派案單號,案件序號,案件來源,專案名稱,業者名稱,業者主業別,業者次業別,行政區,地址,地址備註,稽查日期,表單名稱,稽查結果代碼,稽查結果,FORM_LOG_ID,最後更新日期,CR_DATETIME,UP_DATETIME
A107090300048,3,專案,FDA-107食品專案-23火鍋稽查抽驗專案,鍋宴涮涮鍋,餐飲業,一般餐廳,汐止區,新昌路54號,,20180906,食品現場稽查紀錄表(GHP),A3,輔導改善,A107090300048-00003-1-GHP,44:27.1,24:27.6,NULL
A107090300048,4,專案,FDA-107食品專案-23火鍋稽查抽驗專案,麗媽香香鍋-溪尾分店,餐飲業,其他,三重區,溪尾街204號1樓,,20180907,食品現場稽查紀錄表(GHP),B1,不合格,A107090300048-00004-1-GHP,44:27.5,24:27.6,NULL
A107090300048,6,專案,FDA-107食品專案-23火鍋稽查抽驗專案,喜鍋屋淡水店,餐飲業,一般餐廳,淡水區,新市一路2段115號,,20180907,食品現場稽查紀錄表(GHP),B1,不合格,A107090300048-00006-1-GHP,42:21.0,24:27.6,NULL
A107090400088,2,配合經發局稽查,,宇笛生物科技股份有限公司,食品工廠,食品添加物,中和區,立德街148巷52號6樓,,20181001,食品現場稽查紀錄表(GHP),A2,複查合格,A107090400088-00002-1-GHP,32:49.0,24:27.6,NULL
A107090400090,1,民眾檢舉,,好吃海鮮快炒,餐飲業,一般餐廳,中和區,仁愛街10號,,20180910,食品現場稽查紀錄表(GHP),A3,輔導改善,A107090400090-00001-1-GHP,42:34.6,24:27.6,NULL
A107090500091,1,民眾檢舉,,京田津居酒屋,餐飲業,一般餐廳,三重區,重陽路1段130巷10號,,20180906,食品現場稽查紀錄表(GHP),A3,輔導改善,A107090500091-00001-1-GHP,12:52.3,24:27.6,NULL
A107090500095,1,民眾檢舉,,樺興小館,餐飲業,一般餐廳,永和區,文化路202號,,20180911,食品現場稽查紀錄表(GHP),A3,輔導改善,A107090500095-00001-1-GHP,42:35.6,24:27.6,NULL
A107090500110,2,民眾檢舉,,樂華天下,餐飲業,飲料店業,永和區,永平路171號,,20180911,食品現場稽查紀錄表(GHP),A3,輔導改善,A107090500110-00002-1-GHP,42:37.1,24:27.6,NULL
A107090500114,1,調查及追蹤,,貓愛吃小店海鮮燒烤,餐飲業,一般餐廳,新莊區,福美街62巷73號,73號對面,20180905,食品現場稽查紀錄表(GHP),B1,不合格,A107090500114-00001-1-GHP,44:28.4,24:27.6,NULL
A107090500114,2,調查及追蹤,,貓愛吃小店海鮮燒烤,餐飲業,一般餐廳,新莊區,福美街62巷73號,73號對面,20180911,食品現場稽查紀錄表(GHP),A2,複查合格,A107090500114-00002-1-GHP,42:38.0,24:27.6,NULL
A107090500129,3,調查及追蹤,,翠柏新村老人安養中心長青大樓廚房,其他一般食品製造業,團體膳食其他非營利,汐止區,永春一路5號,,20180906,食品現場稽查紀錄表(GHP),A3,輔導改善,A107090500129-00003-1-GHP,12:53.0,24:27.6,NULL
A107090500129,4,調查及追蹤,,樂鄉自助餐,餐飲業,自助餐飲業,汐止區,大同路1段229號,,20180906,食品現場稽查紀錄表(GHP),A3,輔導改善,A107090500129-00004-1-GHP,12:53.3,24:27.6,NULL
A107090500129,5,調查及追蹤,,全聯實業股份有限公司,食品販賣業,一般超市,新店區,北新路2段252號B1樓,,20180910,食品現場稽查紀錄表(GHP),A1,合格,A107090500129-00005-1-GHP,42:39.6,24:27.6,NULL
